id,x_coord,y_coord,Elevation1
37761,-56674.815,-148871.228,1.20000004768372
37762,-56674.815,-149121.228,1.50623428821564
37763,-56674.815,-149371.228,1.79919135570526
37764,-56674.815,-149621.228,2.90775847434998
37765,-56674.815,-149871.228,2.1625804901123
37766,-56674.815,-150121.228,0.800000011920929
38108,-56424.815,-148621.228,0.169840410351753
38109,-56424.815,-148871.228,0.969704687595367
38110,-56424.815,-149121.228,1.79809165000916
38111,-56424.815,-149371.228,2.12171483039856
38112,-56424.815,-149621.228,3
38113,-56424.815,-149871.228,1.79999995231628
38114,-56424.815,-150121.228,0.899999976158142
38115,-56424.815,-150371.228,0.100000001490116
38456,-56174.815,-148621.228,0
38457,-56174.815,-148871.228,0.856788218021393
38458,-56174.815,-149121.228,1.60000002384186
38459,-56174.815,-149371.228,2.37392449378967
38460,-56174.815,-149621.228,2.77327227592468
38461,-56174.815,-149871.228,2.09999990463257
38462,-56174.815,-150121.228,1.41711068153381
38463,-56174.815,-150371.228,0.822793781757355
38805,-55924.815,-148871.228,0.699999988079071
38806,-55924.815,-149121.228,1.55300211906433
38807,-55924.815,-149371.228,2.29999995231628
38808,-55924.815,-149621.228,2.30203771591187
38809,-55924.815,-149871.228,2.09518980979919
38810,-55924.815,-150121.228,2.10754609107971
38811,-55924.815,-150371.228,1.5
39153,-55674.815,-148871.228,0.532078564167023
39154,-55674.815,-149121.228,1.39999997615814
39155,-55674.815,-149371.228,2.24921870231628
39156,-55674.815,-149621.228,1.70000004768372
39157,-55674.815,-149871.228,1
39158,-55674.815,-150121.228,0.839800357818604
39159,-55674.815,-150371.228,1.52776670455933
39501,-55424.815,-148871.228,0.400000005960464
39502,-55424.815,-149121.228,1.29999995231628
39503,-55424.815,-149371.228,1.78205645084381
39504,-55424.815,-149621.228,0.899999976158142
39505,-55424.815,-149871.228,0.26076677441597
39506,-55424.815,-150121.228,
39849,-55174.815,-148871.228,0.207368835806847
39850,-55174.815,-149121.228,1.10000002384186
39851,-55174.815,-149371.228,1.31977689266205
39852,-55174.815,-149621.228,0.694303274154663
39853,-55174.815,-149871.228,
40198,-54924.815,-149121.228,0.687455236911774
40199,-54924.815,-149371.228,0.774627268314362
40546,-54674.815,-149121.228,0
38454,-56174.815,-148121.228,1.55695486068726
38800,-55924.815,-147621.228,5.58891153335571
38801,-55924.815,-147871.228,7.46226453781128
38802,-55924.815,-148121.228,9.94478416442871
39148,-55674.815,-147621.228,12.0867118835449
39149,-55674.815,-147871.228,8.3934907913208
39150,-55674.815,-148121.228,10.3240852355957
39495,-55424.815,-147371.228,7.65169668197632
39496,-55424.815,-147621.228,9.92024230957031
39497,-55424.815,-147871.228,9.20585060119629
39498,-55424.815,-148121.228,9.72964382171631
39843,-55174.815,-147371.228,13.5419454574585
39844,-55174.815,-147621.228,9.80000019073486
39845,-55174.815,-147871.228,9.30157375335693
39846,-55174.815,-148121.228,6.92482423782349
40190,-54924.815,-147121.228,7.73886299133301
40191,-54924.815,-147371.228,9.8352632522583
40192,-54924.815,-147621.228,8.62373638153076
40193,-54924.815,-147871.228,7.33765554428101
40194,-54924.815,-148121.228,3.43330097198486
40195,-54924.815,-148371.228,0.522312164306641
40538,-54674.815,-147121.228,1.62830936908722
40539,-54674.815,-147371.228,9.69999980926514
40540,-54674.815,-147621.228,8.54335784912109
40541,-54674.815,-147871.228,6.06076002120972
40542,-54674.815,-148121.228,4.41735124588013
40543,-54674.815,-148371.228,1.65071439743042
40887,-54424.815,-147371.228,3.15539979934692
40888,-54424.815,-147621.228,6.23722982406616
40889,-54424.815,-147871.228,3.00852704048157
40890,-54424.815,-148121.228,4.13830995559692
40891,-54424.815,-148371.228,1.73870360851288
41234,-54174.815,-147121.228,0.114129729568958
41236,-54174.815,-147621.228,4.78656387329102
41237,-54174.815,-147871.228,0.331792920827866
41238,-54174.815,-148121.228,1.94155740737915
41239,-54174.815,-148371.228,1.19770407676697
41223,-54174.815,-144371.228,2.45564389228821
41571,-53924.815,-144371.228,3.27441787719727
41572,-53924.815,-144621.228,2.2658543586731
41573,-53924.815,-144871.228,1.23515129089355
41581,-53924.815,-146871.228,2.38473868370056
41582,-53924.815,-147121.228,0.575684010982513
41919,-53674.815,-144371.228,3.28735375404358
41920,-53674.815,-144621.228,2.29999995231628
41921,-53674.815,-144871.228,1.29999995231628
41922,-53674.815,-145121.228,0.361658096313477
41928,-53674.815,-146621.228,0.653251945972443
41929,-53674.815,-146871.228,3.13843178749084
41939,-53674.815,-149371.228,0.204190954566002
42267,-53424.815,-144371.228,3.29981875419617
42268,-53424.815,-144621.228,2.39116191864014
42269,-53424.815,-144871.228,1.39999997615814
42270,-53424.815,-145121.228,0.574028491973877
42276,-53424.815,-146621.228,0.477381020784378
42277,-53424.815,-146871.228,1.39999997615814
42281,-53424.815,-147871.228,0.0327286757528782
42283,-53424.815,-148371.228,0.455844968557358
42284,-53424.815,-148621.228,0.432598769664764
42285,-53424.815,-148871.228,1.0462292432785
42615,-53174.815,-144371.228,3.41210079193115
42616,-53174.815,-144621.228,2.5
42617,-53174.815,-144871.228,1.59913337230682
42618,-53174.815,-145121.228,0.981586396694183
42619,-53174.815,-145371.228,5.34969425201416
42620,-53174.815,-145621.228,0.100000001490116
42624,-53174.815,-146621.228,0.647801756858826
42625,-53174.815,-146871.228,1
42626,-53174.815,-147121.228,0.5
42627,-53174.815,-147371.228,0.425461292266846
42628,-53174.815,-147621.228,1
42629,-53174.815,-147871.228,0.5
42631,-53174.815,-148371.228,0.880140066146851
42633,-53174.815,-148871.228,0.0016701053828001
42634,-53174.815,-149121.228,0.100000001490116
42963,-52924.815,-144371.228,3.59999990463257
